,Date,Hour,Minute,EST,Elevation angle,Zenith (Incidence) angle,wind_speed (m/s),wind_direction (deg),mixing_height,overall_cloud_cover,time_interval,stability_class
2023-02-03 00:00:00,20230203,0.0,0,00:00:00,-64.57,154.57,4.629996,290.0,3000.0,100.0,0 days 00:15:00,D
2023-02-03 00:15:00,20230203,0.0,15,00:15:00,-65.36,155.36,4.629996,282.63074021243006,3250.0,100.0,0 days 00:15:00,D
2023-02-03 00:30:00,20230203,0.0,30,00:30:00,-65.73,155.73000000000002,4.629996,275.0,3500.0,100.0,0 days 00:15:00,D
2023-02-03 00:45:00,20230203,0.0,45,00:45:00,-65.68,155.68,4.629996,267.36925978756994,3750.0,100.0,0 days 00:15:00,D
2023-02-03 01:00:00,20230203,1.0,0,01:00:00,-65.2,155.2,4.629996,260.0,4000.0,100.0,0 days 00:15:00,D
2023-02-03 01:15:00,20230203,1.0,15,01:15:00,-64.32,154.32,4.629996,260.0,3625.0,100.0,0 days 00:15:00,D
2023-02-03 01:30:00,20230203,1.0,30,01:30:00,-63.08,153.07999999999998,4.629996,260.0,3250.0,100.0,0 days 00:15:00,D
2023-02-03 01:45:00,20230203,1.0,45,01:45:00,-61.52,151.52,4.629996,260.0,2875.0,100.0,0 days 00:15:00,D
2023-02-03 02:00:00,20230203,2.0,0,02:00:00,-59.7,149.7,4.629996,260.0,2500.0,100.0,0 days 00:15:00,D
2023-02-03 02:15:00,20230203,2.0,15,02:15:00,-57.66,147.66,5.14444,262.4952312784634,3125.0,100.0,0 days 00:15:00,D
2023-02-03 02:30:00,20230203,2.0,30,02:30:00,-55.45,145.45,5.6588840000000005,265.0,3750.0,100.0,0 days 00:15:00,D
2023-02-03 02:45:00,20230203,2.0,45,02:45:00,-53.09,143.09,6.173328,267.5047687215366,4375.0,100.0,0 days 00:15:00,D
2023-02-03 03:00:00,20230203,3.0,0,03:00:00,-50.62,140.62,6.687772,270.0,5000.0,100.0,0 days 00:15:00,D
2023-02-03 03:15:00,20230203,3.0,15,03:15:00,-48.05,138.05,6.559161,272.4952312784634,5000.0,100.0,0 days 00:15:00,D
2023-02-03 03:30:00,20230203,3.0,30,03:30:00,-45.42,135.42000000000002,6.43055,275.0,5000.0,100.0,0 days 00:15:00,D
2023-02-03 03:45:00,20230203,3.0,45,03:45:00,-42.72,132.72,6.301939,277.5047687215366,5000.0,100.0,0 days 00:15:00,D
2023-02-03 04:00:00,20230203,4.0,0,04:00:00,-39.98,129.98,6.173328,280.0,5000.0,100.0,0 days 00:15:00,D
2023-02-03 04:15:00,20230203,4.0,15,04:15:00,-37.21,127.21000000000001,6.044717,280.0,4850.0,100.0,0 days 00:15:00,D
2023-02-03 04:30:00,20230203,4.0,30,04:30:00,-34.41,124.41,5.916106,280.0,4700.0,100.0,0 days 00:15:00,D
2023-02-03 04:45:00,20230203,4.0,45,04:45:00,-31.59,121.59,5.787495,280.0,4550.0,100.0,0 days 00:15:00,D
2023-02-03 05:00:00,20230203,5.0,0,05:00:00,-28.76,118.76,5.6588840000000005,280.0,4400.0,100.0,0 days 00:15:00,D
2023-02-03 05:15:00,20230203,5.0,15,05:15:00,-25.92,115.92,5.787495,280.0,4525.0,87.5,0 days 00:15:00,D
2023-02-03 05:30:00,20230203,5.0,30,05:30:00,-23.09,113.09,5.916106,280.0,4650.0,75.0,0 days 00:15:00,D
2023-02-03 05:45:00,20230203,5.0,45,05:45:00,-20.26,110.26,6.044717,280.0,4775.0,62.5,0 days 00:15:00,D
2023-02-03 06:00:00,20230203,6.0,0,06:00:00,-17.45,107.45,6.173328,280.0,4900.0,50.0,0 days 00:15:00,D
2023-02-03 06:15:00,20230203,6.000000000000001,15,06:15:00,-14.65,104.65,5.787495,280.0,4875.0,62.5,0 days 00:15:00,D
2023-02-03 06:30:00,20230203,6.0,30,06:30:00,-11.87,101.87,5.401662,280.0,4850.0,75.0,0 days 00:15:00,D
2023-02-03 06:45:00,20230203,6.0,45,06:45:00,-9.12,99.12,5.015829,280.0,4825.0,87.5,0 days 00:15:00,D
2023-02-03 07:00:00,20230203,7.0,0,07:00:00,-6.38,96.38,4.629996,280.0,4800.0,100.0,0 days 00:15:00,D
2023-02-03 07:15:00,20230203,7.0,15,07:15:00,-3.45,93.45,4.244163,280.0,4800.0,100.0,0 days 00:15:00,D
2023-02-03 07:30:00,20230203,7.0,30,07:30:00,-0.3,90.3,3.85833,280.0,4800.0,100.0,0 days 00:15:00,D
2023-02-03 07:45:00,20230203,7.0,45,07:45:00,2.02,87.98,3.4724969999999997,280.0,4800.0,100.0,0 days 00:15:00,D
2023-02-03 08:00:00,20230203,8.0,0,08:00:00,4.46,85.54,3.086664,280.0,4800.0,100.0,0 days 00:15:00,D
2023-02-03 08:15:00,20230203,8.0,15,08:15:00,6.93,83.07,3.601108,284.9616312267025,4800.0,87.5,0 days 00:15:00,D
2023-02-03 08:30:00,20230203,8.0,30,08:30:00,9.36,80.64,4.115552,290.0,4800.0,75.0,0 days 00:15:00,D
