,ethyl_acryl_100 Cumulative Hazard Index PAC2
BLOCK 1030,7.407325659665193e-07
BLOCK 1033,3.7556465710488265e-07
BLOCK 1035,2.7824949089080237e-07
BLOCK 1037,2.790573386258814e-07
BLOCK 1038,3.543420422064264e-07
BLOCK 2009,7.445913355350915e-07
BLOCK 2013,4.224636198451743e-06
BLOCK 2008,7.45850670239785e-07
BLOCK 1009,2.5944375756303565e-06
BLOCK 1016,2.7622153404081934e-06
BLOCK 1020,7.693537645966776e-07
BLOCK 1026,7.504199783486791e-07
BLOCK 1027,4.6415922689749535e-07
BLOCK 1028,1.0164804422047962e-06
BLOCK 1029,1.7064582662044012e-06
BLOCK 1039,4.5738723528459055e-07
BLOCK 1040,7.557459293824175e-07
BLOCK 1052,1.4473385627957023e-06
BLOCK 1054,1.8934939126564917e-06
BLOCK 2025,3.3815820201680063e-07
BLOCK 2028,1.8984362011090864e-06
BLOCK 2029,1.9883897292102753e-06
BLOCK 1005,1.6455259160138773e-06
BLOCK 1006,4.02640313018934e-06
BLOCK 1007,3.4026732417760337e-06
BLOCK 1008,3.817483256274297e-06
BLOCK 1011,1.2580504995241008e-06
BLOCK 1024,7.616636083108534e-07
BLOCK 1025,8.249397060904946e-07
BLOCK 3010,1.2994434417752428e-05
BLOCK 3011,1.207097134136976e-05
BLOCK 3012,6.2024071064763275e-06
BLOCK 3013,3.6375145564301616e-06
BLOCK 3014,2.723132632794603e-06
BLOCK 3015,1.0132232550407877e-06
BLOCK 3017,1.396027940666927e-06
BLOCK 3025,1.5392415016406092e-06
BLOCK 3026,4.0385548440811603e-07
BLOCK 3027,4.48019785241201e-06
BLOCK 3028,1.580120705684161e-05
BLOCK 3030,5.469959027310788e-07
BLOCK 3031,1.376785770685314e-06
BLOCK 4047,1.9370352032279626e-06
BLOCK 4057,1.9796110838813278e-06
BLOCK 4000,1.0993274235797736e-13
BLOCK 4001,5.393871582566723e-06
BLOCK 1000,5.480689026610591e-07
BLOCK 1001,5.482431733291452e-07
BLOCK 1002,7.498447870682035e-07
BLOCK 1003,9.92123871158844e-07
BLOCK 1004,2.0779705050954207e-06
BLOCK 1010,3.4930325310058723e-06
BLOCK 1017,1.304102059873082e-06
BLOCK 1018,8.877569587580143e-07
BLOCK 1019,7.575609921682723e-07
BLOCK 2000,1.2460324972147303e-06
BLOCK 2001,1.5881878330396192e-06
BLOCK 2002,1.6797681921928489e-06
BLOCK 2003,1.561828157643974e-06
BLOCK 2004,7.24849535942922e-07
BLOCK 2005,4.952330136777647e-07
BLOCK 2006,4.676295957578886e-07
BLOCK 2007,4.940954821478812e-07
BLOCK 2010,6.28745862188325e-07
BLOCK 2011,1.6038280287421976e-06
BLOCK 2012,2.8858571752652365e-06
BLOCK 2026,5.408157788872902e-07
BLOCK 2027,6.277625950104355e-07
BLOCK 2051,1.950981146831174e-06
BLOCK 2054,1.9797408691543533e-06
BLOCK 2055,4.293896764934104e-06
BLOCK 2056,4.09526941449844e-06
BLOCK 5030,1.3443354180032247e-15
BLOCK 5031,8.229679840516768e-13
BLOCK 1012,2.6734481784118822e-06
BLOCK 1013,1.1231587354658538e-05
