,Total Phosgene 0.07 Cumulative Hazard Index PAC1
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,1.0924352620504323e-189
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,1.4982775777926988e-279
BLOCK 1006,0.0
BLOCK 1007,4.166709953008825e-281
BLOCK 1008,2.2377126742046846e-156
BLOCK 1011,1.515767719624281e-07
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,3.943579213721933e-17
BLOCK 3011,9.772634204939552e-17
BLOCK 3012,2.0009055211052663e-15
BLOCK 3013,7.039962478177721e-18
BLOCK 3014,2.1903511906520073e-14
BLOCK 3015,3.1819397745439295e-25
BLOCK 3017,1.5747594951684342e-22
BLOCK 3025,1.553074417581371e-108
BLOCK 3026,4.869221277722e-68
BLOCK 3027,5.366142042228236e-28
BLOCK 3028,3.8976626324729737e-22
BLOCK 3030,4.632079346362772e-71
BLOCK 3031,1.0342217600181474e-27
BLOCK 4047,2.0856116648666205e-138
BLOCK 4057,1.9474065117388492e-177
BLOCK 4000,2.2337265906607617e-110
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,0.0
BLOCK 1002,0.0
BLOCK 1003,0.0
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,4.19983909676686e-241
BLOCK 1014,2.015999200555311e-90
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,1.3869257732788876e-39
BLOCK 1056,1.986033059416258e-42
BLOCK 1057,6.143433992302275e-48
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,3.313230212756324e-281
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,6.938725238892162e-18
BLOCK 2024,6.5513273270157514e-15
BLOCK 3001,3.53057459107291e-14
BLOCK 3002,3.1463166955951543e-13
BLOCK 3003,2.51377919593498e-14
BLOCK 3004,5.148262508325403e-13
BLOCK 3005,4.895622686020449e-12
BLOCK 3006,1.3563545715716499e-11
BLOCK 3007,3.796270582332549e-13
BLOCK 3008,1.1327792026142391e-17
BLOCK 3009,5.4883427782770874e-17
BLOCK 3018,9.103843195743592e-23
BLOCK 3019,9.363468062458238e-34
BLOCK 3020,2.794399799830379e-53
BLOCK 3021,5.2428653421726326e-45
BLOCK 3022,6.756668902694576e-50
BLOCK 3023,1.1816080354918148e-64
BLOCK 3024,1.7542821371382662e-89
BLOCK 3029,3.871712435684517e-76
BLOCK 2030,4.869971259988348e-16
BLOCK 3000,6.152039154761552e-20
BLOCK 3016,1.7365665070355335e-29
BLOCK 3032,2.0204986758773835e-50
BLOCK 3033,1.2420802269630888e-35
BLOCK 3034,2.783781992010058e-89
BLOCK 3035,2.645253180767507e-103
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,8.589034927916283e-27
BLOCK 4004,5.82227708134248e-34
BLOCK 4005,3.055990885750751e-109
BLOCK 4006,3.5680651767357524e-85
BLOCK 4007,7.217377035023884e-97
BLOCK 4008,3.8173465011016223e-53
BLOCK 4009,1.6651388980164461e-50
BLOCK 4010,2.1882527211458583e-44
BLOCK 4011,3.035045266958609e-39
BLOCK 4012,9.375305085497656e-50
BLOCK 4013,1.3985205250834085e-83
BLOCK 4014,2.7451380596127052e-64
BLOCK 4015,7.185304898282237e-62
BLOCK 4016,0.0
BLOCK 4017,1.4971774074769102e-61
BLOCK 4018,5.092945958987e-140
BLOCK 4019,4.1273684499869684e-94
BLOCK 4020,1.1336710273322373e-47
BLOCK 4021,2.868045784918922e-85
BLOCK 4022,0.0
BLOCK 4023,1.5197786811216525e-164
BLOCK 4024,2.6972945448299262e-170
BLOCK 4025,1.5095227533199995e-189
BLOCK 4026,4.9032867064488255e-175
BLOCK 4027,4.351333834122097e-173
BLOCK 4028,2.3653021366929266e-164
BLOCK 4029,1.0380451971103311e-137
BLOCK 4030,1.0103137719003814e-157
BLOCK 4031,1.600924458447673e-137
BLOCK 4032,4.5916288727860116e-198
BLOCK 4033,1.527003258067773e-150
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,1.5798626575587906e-191
BLOCK 4035,6.862962910999323e-196
BLOCK 4036,9.593973714823567e-191
BLOCK 4037,8.081474651941304e-198
BLOCK 4038,1.9131064915993264e-243
BLOCK 4039,3.999762521053085e-251
BLOCK 4040,2.1108095937232887e-299
BLOCK 4041,2.4078520692363043e-205
BLOCK 4042,6.870085992520437e-239
BLOCK 4043,2.293573331490831e-210
BLOCK 4044,2.9675353860786545e-180
BLOCK 4045,1.1769481458946206e-162
BLOCK 4046,1.3546262741222576e-156
BLOCK 4048,1.6271358263729754e-114
BLOCK 4049,9.563275101796973e-119
BLOCK 4050,3.2405250475479336e-110
BLOCK 4051,5.165605222021071e-147
BLOCK 4052,1.3304495038688236e-153
BLOCK 4053,1.3806308222689784e-155
BLOCK 4054,1.5477375020028346e-161
BLOCK 4055,1.7668561094499473e-164
BLOCK 4056,1.0281164192237948e-184
BLOCK 4058,2.2872616836590556e-165
BLOCK 4059,2.507959764682519e-164
BLOCK 4061,1.566774597386606e-213
BLOCK 4062,1.1658554110328702e-205
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,8.14164449046316e-13
BLOCK 2032,7.394445716238924e-12
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,8.765851368415084e-24
BLOCK 2058,7.197620307963239e-14
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,2.253370324972969e-200
BLOCK 4064,1.3477011650556464e-189
BLOCK 4065,2.7883026279808753e-298
