,OBJECTID,GEOID,NAME,County_Name,State_Name,Lattitude,Longitude,Total Population,Population of one race,Population of one race: White alone,Population of one race: Black or African American alone,Population of one race: American Indian and Alaska Native alone,Population of one race: Asian alone,Population of one race: Native Hawaiian and Other Pacific Islander alone,Population of one race: Some Other Race alone,Hispanic or Latino Population,Non-Hispanic or Latino Population,Total population 18 years and over,Total population 18 years and over: Hispanic or Latino,Total population 18 years and over: Not Hispanic or Latino,Total housing units,Total occupied housing units,Total vacant housing units,Total group quarters population,Group quarters population: Institutionalized population,Group quarters population: Correctional facilities for adults,Group quarters population: Juvenile facilities,Group quarters population: Nursing facilities/Skilled-nursing facilities,Group quarters population: Other institutional facilities,Group quarters population: Noninstitutionalized population:,Group quarters population: College/University student housing,Group quarters population: Military quarters,Group quarters population: Other noninstitutional facilities,Percent of Population 18 Years and Over,Percent Hispanic or Latino,"Percent White alone, not Hispanic or Latino","Percent Black or African American alone, not Hispanic or Latino","Percent American Indian and Alaska Native alone, not Hispanic or Latino","Percent Asian alone, not Hispanic or Latino","Percent Native Hawaiian and Other Pacific Islander alone, not Hispanic or Latino","Percent Some Other Race alone, not Hispanic or Latino","Percent Population of two or more races, not Hispanic or Latino",Percent of Housing Units that are Occupied,Percent of Housing Units that are Vacant,STATE,COUNTY,TRACT,BLKGRP,BLOCK,TRIBAL TRACT,TRIBAL BLKGRP,URBAN AREA,URBAN AREA TYPE,URBAN/ RURAL,AREALAND,AREAWATR,POP100,Total Housing Count,Shape_Length,Shape_Area,y,x,Additional Cancer Prob,Expected Cancers
0,1,390299516001030,BLOCK 1030,Columbiana County,Ohio,40.7402805,-80.5510121,107,103,102,0,0,0,0,1,0,107,89,0,89,49,49,0,0,0,0,0,0,0,0,0,0,0,83.19999694824219,0.0,95.3000030517578,0.0,0.0,0.0,0.0,0.8999999761581421,3.700000047683716,100.0,0.0,39,29,951600,1,1030,999999,9,,,,6394401,0,107,49,4949.892537686415,262630.52495454275,-10656.474279411892,-2476.140910347027,0.0,0.0
1,2,390299516001033,BLOCK 1033,Columbiana County,Ohio,40.7528642,-80.5528584,7,5,5,0,0,0,0,0,0,7,5,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,71.4000015258789,0.0,71.4000015258789,0.0,0.0,0.0,0.0,0.0,28.600000381469727,100.0,0.0,39,29,951600,1,1033,999999,9,,,,20095,0,7,4,925.7880030932156,35052.629858967004,-9256.79142700052,-2631.515622423527,0.0,0.0
2,3,390299516001035,BLOCK 1035,Columbiana County,Ohio,40.7544856,-80.5330326,14,10,10,0,0,0,0,0,1,13,9,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,64.30000305175781,7.099999904632568,64.30000305175781,0.0,0.0,0.0,0.0,0.0,28.600000381469727,100.0,0.0,39,29,951600,1,1035,999999,9,,,,1052084,0,14,2,6071.178815375119,1738635.345878893,-9076.443375401874,-963.0825463549418,0.0,0.0
3,4,390299516001037,BLOCK 1037,Columbiana County,Ohio,40.7461807,-80.520995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,39,29,951600,1,1037,999999,9,,,,155727,0,0,0,155.68402197862048,340.0860694547804,-10000.196017390825,49.937364203717415,0.0,0.0
4,5,390299516001038,BLOCK 1038,Columbiana County,Ohio,40.7383073,-80.528303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,39,29,951600,1,1038,999999,9,,,,3586444,0,0,0,2894.9404938375324,137909.76638856315,-10875.95298634034,-565.0647549648896,0.0,0.0
5,6,420076006022009,BLOCK 2009,Beaver County,Pennsylvania,40.7513057,-80.5023618,47,44,44,0,0,0,0,0,0,47,37,0,37,24,18,6,0,0,0,0,0,0,0,0,0,0,78.69999694824219,0.0,93.5999984741211,0.0,0.0,0.0,0.0,0.0,6.400000095367432,75.0,25.0,42,7,600602,2,2009,999999,9,,,,6968415,0,47,24,11352.079188943551,6547183.668198545,-9430.14312208867,1618.0076249784008,0.0,0.0
6,7,420076006022013,BLOCK 2013,Beaver County,Pennsylvania,40.7509703,-80.5189728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,42,7,600602,2,2013,999999,9,,,,9023,0,0,0,930.3326245221232,11148.452876965452,-9467.4496081545,220.11488002141925,0.0,0.0
7,8,420076006022008,BLOCK 2008,Beaver County,Pennsylvania,40.7514692,-80.4783717,45,44,44,0,0,0,0,0,0,45,40,0,40,21,20,1,0,0,0,0,0,0,0,0,0,0,88.9000015258789,0.0,97.8000030517578,0.0,0.0,0.0,0.0,0.0,2.200000047683716,95.1999969482422,4.800000190734863,42,7,600602,2,2008,999999,9,,,,1322830,0,45,21,3163.6279713861245,403065.1920950131,-9411.957044355186,3636.885853864692,0.0,0.0
8,9,390299514011009,BLOCK 1009,Columbiana County,Ohio,40.7987149,-80.5763967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,39,29,951401,1,1009,999999,9,,,,28083,0,0,0,1527.9368868784982,49055.11804893756,-4156.825712539774,-4612.372756716736,8.335163691798588e-143,0.0
9,10,390299514011016,BLOCK 1016,Columbiana County,Ohio,40.7992143,-80.5775337,2,2,2,0,0,0,0,0,0,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,39,29,951401,1,1016,999999,9,,,,14873,0,2,1,775.8108313356471,25979.687063954578,-4101.277533825039,-4708.056579203517,0.0,0.0
10,11,390299514011020,BLOCK 1020,Columbiana County,Ohio,40.7999099,-80.5957886,9,9,9,0,0,0,0,0,0,9,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,33.29999923706055,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,39,29,951401,1,1020,999999,9,,,,42502,0,9,1,1964.732765777385,74242.00298768147,-4023.906061830545,-6244.291035780651,0.0,0.0
11,12,390299514011026,BLOCK 1026,Columbiana County,Ohio,40.7978738,-80.5778829,9,9,9,0,0,0,0,0,0,9,6,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,66.69999694824219,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,39,29,951401,1,1026,999999,9,,,,96030,0,9,1,2105.8443924548924,167733.772508191,-4250.381125269486,-4737.443378471551,0.0,0.0
12,13,390299514011027,BLOCK 1027,Columbiana County,Ohio,40.7989598,-80.5827095,6,6,6,0,0,0,0,0,0,6,6,0,6,4,4,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,39,29,951401,1,1027,999999,9,,,,121278,0,6,4,3555.3793030127126,211836.6506790317,-4129.5855263821095,-5143.62414781883,0.0,0.0
13,14,390299514011028,BLOCK 1028,Columbiana County,Ohio,40.7977971,-80.5907678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,39,29,951401,1,1028,999999,9,,,,40529,0,0,0,2939.789344197295,70793.82436075581,-4258.912453478817,-5821.7674476385855,0.0,0.0
14,15,390299514011029,BLOCK 1029,Columbiana County,Ohio,40.7985425,-80.5882648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,39,29,951401,1,1029,999999,9,,,,50487,0,0,0,3019.1341873565307,88189.85426615612,-4176.001735788248,-5611.128396055622,0.0,0.0
15,16,390299514011037,BLOCK 1037,Columbiana County,Ohio,40.7879151,-80.5766674,33,32,32,0,0,0,0,0,0,33,29,0,29,11,11,0,0,0,0,0,0,0,0,0,0,0,87.9000015258789,0.0,97.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,39,29,951401,1,1037,999999,9,,,,893369,0,33,11,6777.48211196539,1559978.93723574,-5358.0856654533945,-4635.15341702212,0.0,0.0
16,17,390299514011038,BLOCK 1038,Columbiana County,Ohio,40.7933338,-80.5843742,48,46,44,0,2,0,0,0,0,48,41,0,41,18,18,0,0,0,0,0,0,0,0,0,0,0,85.4000015258789,0.0,91.6999969482422,0.0,4.199999809265137,0.0,0.0,0.0,4.199999809265137,100.0,0.0,39,29,951401,1,1038,999999,9,,,,1202593,0,48,18,7015.244277308035,2100281.1428926266,-4755.364568131879,-5283.7163705911935,0.0,0.0
17,18,390299514011039,BLOCK 1039,Columbiana County,Ohio,40.7905714,-80.5951542,55,50,50,0,0,0,0,0,0,55,48,0,48,24,24,0,0,0,0,0,0,0,0,0,0,0,87.30000305175781,0.0,90.9000015258789,0.0,0.0,0.0,0.0,0.0,9.100000381469728,100.0,0.0,39,29,951401,1,1039,999999,9,,,,1557240,0,55,24,7910.746849117229,2719432.6190874223,-5062.625859445662,-6190.903336023682,0.0,0.0
18,19,390299514011040,BLOCK 1040,Columbiana County,Ohio,40.7874003,-80.6125473,69,69,67,1,1,0,0,0,2,67,59,1,58,29,17,12,0,0,0,0,0,0,0,0,0,0,85.5,2.900000095367432,97.0999984741211,0.0,0.0,0.0,0.0,0.0,0.0,58.59999847412109,41.400001525878906,39,29,951401,1,1040,999999,9,,,,3286386,0,69,29,8234.385352811098,3483521.6102619777,-5415.346783599847,-7654.613267386368,0.0,0.0
19,20,390299514011052,BLOCK 1052,Columbiana County,Ohio,40.780823,-80.5760347,28,27,27,0,0,0,0,0,0,28,21,0,21,15,15,0,0,0,0,0,0,0,0,0,0,0,75.0,0.0,96.4000015258789,0.0,0.0,0.0,0.0,0.0,3.5999999046325684,100.0,0.0,39,29,951401,1,1052,999999,9,,,,1003014,0,28,15,6124.643659249887,1751068.7348574495,-6146.938765701017,-4581.90877801063,0.0,0.0
20,21,390299514011054,BLOCK 1054,Columbiana County,Ohio,40.7801752,-80.5953712,67,67,67,0,0,0,0,0,0,67,59,0,59,24,24,0,0,0,0,0,0,0,0,0,0,0,88.0999984741211,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,39,29,951401,1,1054,999999,9,,,,1910487,0,67,24,8136.584194231337,3178006.1406749384,-6218.993451666774,-6209.164891592816,0.0,0.0
21,22,390299514012025,BLOCK 2025,Columbiana County,Ohio,40.7975356,-80.6207948,32,32,32,0,0,0,0,0,0,32,26,0,26,16,4,12,0,0,0,0,0,0,0,0,0,0,81.30000305175781,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,39,29,951401,2,2025,999999,9,,,,1101576,0,32,16,6993.789349907846,1216781.4281601182,-4287.999054867328,-8348.678570057446,0.0,0.0
22,23,390299514012028,BLOCK 2028,Columbiana County,Ohio,40.7994492,-80.5983845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,39,29,951401,2,2028,999999,9,,,,7043,0,0,0,751.5798206092552,12302.563774018852,-4075.149645999822,-6462.748049098804,0.0,0.0
23,24,390299514012029,BLOCK 2029,Columbiana County,Ohio,40.7943506,-80.6201261,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,100.0,0.0,39,29,951401,2,2029,999999,9,,,,106420,0,0,1,5443.077864235198,123097.4910600942,-4642.266073704141,-8292.40437031346,0.0,0.0
24,25,390299516001005,BLOCK 1005,Columbiana County,Ohio,40.7707124,-80.5842512,55,55,55,0,0,0,0,0,0,55,45,0,45,24,20,4,0,0,0,0,0,0,0,0,0,0,81.80000305175781,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,83.30000305175781,16.700000762939453,39,29,951600,1,1005,999999,9,,,,1816780,0,55,24,8468.55718037941,3146853.329980031,-7271.539117551667,-5273.365350362538,1.130683516996921e-186,6.218759343483066e-185
25,26,390299516001006,BLOCK 1006,Columbiana County,Ohio,40.7697221,-80.5902001,22,22,22,0,0,0,0,0,0,22,22,0,22,13,13,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,39,29,951600,1,1006,999999,9,,,,79384,0,22,13,3599.876065692643,128162.5811878112,-7381.690021399193,-5773.992861411257,8.554632198892974e-289,1.882019083756454e-287
26,27,390299516001007,BLOCK 1007,Columbiana County,Ohio,40.771168,-80.5986899,16,16,16,0,0,0,0,0,0,16,16,0,16,8,8,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,39,29,951600,1,1007,999999,9,,,,133679,0,16,8,1282.1363178049305,69221.76626166444,-7220.862805532405,-6488.448874103005,3.6653336677126366e-166,5.8645338683402185e-165
27,28,390299516001008,BLOCK 1008,Columbiana County,Ohio,40.7663089,-80.6093488,103,94,94,0,0,0,0,0,0,103,91,0,91,46,46,0,0,0,0,0,0,0,0,0,0,0,88.30000305175781,0.0,91.3000030517578,0.0,0.0,0.0,0.0,0.0,8.699999809265137,100.0,0.0,39,29,951600,1,1008,999999,9,,,,2183376,26409,103,46,2864.2253698753498,420831.2037997383,-7761.339688179033,-7385.444681886498,8.487447897818596e-117,8.742071334753154e-115
28,29,390299516001011,BLOCK 1011,Columbiana County,Ohio,40.7587428,-80.5794327,20,15,14,0,1,0,0,0,3,17,15,0,15,10,10,0,4,4,0,4,0,0,0,0,0,0,75.0,15.0,70.0,0.0,5.0,0.0,0.0,0.0,10.0,100.0,0.0,39,29,951600,1,1011,999999,9,,,,589561,0,20,10,2184.970391181841,191056.75291594843,-8602.915729377226,-4867.866234787648,1.6198687098432167e-33,3.239737419686433e-32
29,30,390299516001020,BLOCK 1020,Columbiana County,Ohio,40.7648035,-80.5958525,106,106,106,0,0,0,0,0,0,106,91,0,91,76,61,15,0,0,0,0,0,0,0,0,0,0,85.80000305175781,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,80.30000305175781,19.700000762939453,39,29,951600,1,1020,999999,9,,,,447163,0,106,76,3260.671149083505,178523.34350318217,-7928.785079122264,-6249.668516883342,0.0,0.0
30,31,390299516001024,BLOCK 1024,Columbiana County,Ohio,40.7684267,-80.5873562,9,9,9,0,0,0,0,0,0,9,9,0,9,8,8,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,39,29,951600,1,1024,999999,9,,,,68459,0,9,8,1520.0268532390487,119471.7777679538,-7525.777147365245,-5534.665494344349,0.0,0.0
31,32,390299516001025,BLOCK 1025,Columbiana County,Ohio,40.767819,-80.5945084,16,15,15,0,0,0,0,0,0,16,16,0,16,7,7,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,93.8000030517578,0.0,0.0,0.0,0.0,0.0,6.300000190734863,100.0,0.0,39,29,951600,1,1025,999999,9,,,,30384,0,16,7,4.251751025530545,0.669546636005242,-7593.371517018123,-6136.5562733581,0.0,0.0
