,PM10 Cumulative Hazard Index PAC3
BLOCK 1030,1.2089727431380472e-22
BLOCK 1033,1.9735022229378673e-20
BLOCK 1035,3.629036277447142e-19
BLOCK 1037,6.009460739131037e-19
BLOCK 1038,1.5297945543207804e-20
BLOCK 2009,1.4747549322929001e-22
BLOCK 2013,3.988432018732039e-18
BLOCK 2008,1.6830230280753496e-22
BLOCK 1009,1.310099415193857e-29
BLOCK 1016,7.511171438397388e-18
BLOCK 1020,7.912658306045551e-23
BLOCK 1026,1.3095721021210338e-22
BLOCK 1027,1.1846174415171771e-19
BLOCK 1028,2.2463804778670418e-21
BLOCK 1029,4.619924898890459e-23
BLOCK 1039,2.5671747211919482e-21
BLOCK 1040,4.879172225565451e-20
BLOCK 1052,4.6652092245403195e-18
BLOCK 1054,6.577302009717863e-18
BLOCK 2025,1.357385200786641e-20
BLOCK 2028,3.932046609276706e-20
BLOCK 2029,8.32947043126535e-20
BLOCK 1005,6.588257849146981e-31
BLOCK 1006,6.609998241034888e-29
BLOCK 1007,7.510709472888469e-35
BLOCK 1008,9.609609866026163e-33
BLOCK 1011,9.198323935419069e-23
BLOCK 1024,8.939631323755308e-23
BLOCK 1025,7.923335246804961e-23
BLOCK 3010,6.385192429729398e-29
BLOCK 3011,1.4026972492483023e-28
BLOCK 3012,4.0476477423188244e-27
BLOCK 3013,2.2268953057400344e-27
BLOCK 3014,2.1476009447020605e-25
BLOCK 3015,2.1946321323596293e-26
BLOCK 3017,1.2032878816484296e-24
BLOCK 3025,1.6236618424656045e-26
BLOCK 3026,8.654102394730292e-28
BLOCK 3027,2.9046646988110946e-32
BLOCK 3028,4.297867856539706e-33
BLOCK 3030,3.482573527204006e-30
BLOCK 3031,2.538253513045114e-34
BLOCK 4047,2.6876955126462217e-26
BLOCK 4057,5.298120393001789e-27
BLOCK 4000,2.332034138595853e-39
BLOCK 4001,6.28536047982934e-32
BLOCK 1000,5.538615247202548e-23
BLOCK 1001,6.568555771453744e-24
BLOCK 1002,5.969337671194773e-26
BLOCK 1003,1.2729605054023068e-27
BLOCK 1004,7.160329047394993e-18
BLOCK 1010,6.450510034873343e-18
BLOCK 1017,2.1696848310153118e-23
BLOCK 1018,5.873905967652561e-24
BLOCK 1019,5.891077082356434e-23
BLOCK 2000,4.083885157336512e-18
BLOCK 2001,4.9593683331977805e-18
BLOCK 2002,5.117958885201481e-18
BLOCK 2003,4.745192245377555e-18
BLOCK 2004,2.1128569592777383e-22
BLOCK 2005,1.5057558752000049e-22
BLOCK 2006,1.2602678191168179e-22
BLOCK 2007,1.2282857546287542e-22
BLOCK 2010,1.5528551378184151e-22
BLOCK 2011,4.5088201916974205e-18
BLOCK 2012,3.1069460604427212e-18
BLOCK 2026,5.720371849338502e-22
BLOCK 2027,2.5225279281793764e-22
BLOCK 2051,5.9932671948444145e-18
BLOCK 2054,5.869192368024021e-18
BLOCK 2055,3.273365563585025e-18
BLOCK 2056,5.293619790470162e-18
BLOCK 5030,4.6755603076166265e-40
BLOCK 5031,2.832170511839047e-34
BLOCK 1012,7.18784179049917e-18
BLOCK 1013,1.6349525592162067e-52
BLOCK 1014,4.885775663796576e-60
BLOCK 1015,6.930847321768194e-18
BLOCK 1021,8.927452137581694e-23
BLOCK 1022,1.1197198417988805e-22
BLOCK 1023,2.092910781307648e-21
BLOCK 1031,6.4221476610342405e-22
BLOCK 1032,1.32516328909465e-21
BLOCK 1034,1.2871546682776781e-23
BLOCK 1036,9.716616274394538e-19
BLOCK 1048,3.790148711567333e-18
BLOCK 1049,5.094876554470562e-23
BLOCK 1050,1.0578907683651773e-21
BLOCK 1051,6.372064809216847e-18
BLOCK 1053,6.767437969759794e-18
BLOCK 1055,4.58691288781093e-37
BLOCK 1056,1.2125529708523724e-37
BLOCK 1057,2.97659743975729e-41
BLOCK 1058,7.684133311023445e-18
BLOCK 1059,5.43244549881316e-19
BLOCK 1060,7.376363056776892e-26
BLOCK 1061,1.2294890535026104e-21
BLOCK 1062,3.45853061335075e-22
BLOCK 1063,7.335821130208864e-20
BLOCK 1064,2.1185525306085725e-19
BLOCK 1065,4.957502023230652e-25
BLOCK 1066,9.955219965227375e-26
BLOCK 1067,9.402350934241831e-28
BLOCK 3039,5.963693057073972e-24
BLOCK 3040,2.0402333040864596e-24
BLOCK 3041,1.1207840257836677e-24
BLOCK 3042,3.474589556763108e-24
BLOCK 3043,7.344019476747786e-24
BLOCK 3044,4.5839319734153815e-25
BLOCK 3045,5.2648298169284346e-27
BLOCK 3046,9.968137440078693e-28
BLOCK 3047,2.266141433264031e-28
BLOCK 3048,1.27604988486501e-24
BLOCK 3049,5.106335867051191e-23
BLOCK 3050,3.8732646493946557e-26
BLOCK 2059,6.210087220202081e-18
BLOCK 2060,8.318928492768264e-18
BLOCK 2061,2.7315923404519913e-18
BLOCK 2064,3.0559216533090044e-18
BLOCK 2014,5.759440772346922e-19
BLOCK 2015,2.203068343488728e-18
BLOCK 2016,1.885194638720176e-20
BLOCK 2017,5.158733758424777e-22
BLOCK 2018,1.7573153752448132e-20
BLOCK 2019,1.0349157014632196e-41
BLOCK 2020,1.4074877911583298e-131
BLOCK 2021,3.196353966414084e-20
BLOCK 2022,4.0827712184910243e-22
BLOCK 2023,8.710473863363269e-23
BLOCK 2024,7.522292628251272e-23
BLOCK 3001,4.253299066150433e-24
BLOCK 3002,4.8455167909110436e-24
BLOCK 3003,1.2804394308122181e-24
BLOCK 3004,3.759486951119599e-25
BLOCK 3005,1.964358931380296e-24
BLOCK 3006,1.0541275975217335e-24
BLOCK 3007,8.836211478049321e-26
BLOCK 3008,2.884129748881904e-29
BLOCK 3009,9.595129912354873e-29
BLOCK 3018,1.37754096969446e-24
BLOCK 3019,2.475359327568414e-30
BLOCK 3020,4.146715476968562e-28
BLOCK 3021,3.372101219036478e-27
BLOCK 3022,1.1876207424782121e-26
BLOCK 3023,7.510396969645395e-26
BLOCK 3024,5.034063178491179e-27
BLOCK 3029,2.12304595141727e-28
BLOCK 2030,1.0442256700040812e-23
BLOCK 3000,2.8972175807147387e-24
BLOCK 3016,4.776527532888675e-25
BLOCK 3032,2.8661452735279417e-36
BLOCK 3033,6.4407229942954224e-43
BLOCK 3034,2.8016793207271238e-27
BLOCK 3035,4.430015510166717e-30
BLOCK 3036,1.3555782032575896e-107
BLOCK 3037,2.2622809161444936e-114
BLOCK 3038,5.199860122293541e-21
BLOCK 4002,1.1336831683549553e-30
BLOCK 4003,1.4659209140389318e-23
BLOCK 4004,1.1041043535136381e-23
BLOCK 4005,6.175139610782451e-34
BLOCK 4006,3.999568662368808e-37
BLOCK 4007,1.9236277947057662e-34
BLOCK 4008,5.175033657929703e-23
BLOCK 4009,1.6952468198879868e-23
BLOCK 4010,1.2324651276220042e-23
BLOCK 4011,4.534828524299842e-24
BLOCK 4012,6.5955694708173326e-24
BLOCK 4013,8.297542897714187e-23
BLOCK 4014,2.1072223123058678e-23
BLOCK 4015,2.663205960475255e-23
BLOCK 4016,1.3588793901289605e-69
BLOCK 4017,1.514896052908042e-23
BLOCK 4018,1.2265238437042205e-29
BLOCK 4019,3.219342749487816e-23
BLOCK 4020,2.0643837150349344e-24
BLOCK 4021,1.8943290305747713e-24
BLOCK 4022,8.121759034196319e-119
