,Total HCl 100% Cumulative Hazard Index PAC1
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,9.602875055768198e-156
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,1.2525402771540181e-217
BLOCK 1006,0.0
BLOCK 1007,2.7746017659221145e-203
BLOCK 1008,1.722297109331822e-126
BLOCK 1011,2.6476087800364695e-11
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,1.2660953347678717e-14
BLOCK 3011,2.823553993015985e-14
BLOCK 3012,4.0768495464615755e-13
BLOCK 3013,2.1020192533673284e-15
BLOCK 3014,3.212803855118692e-12
BLOCK 3015,2.697128569642983e-22
BLOCK 3017,5.773444988059398e-20
BLOCK 3025,1.5254563875880922e-95
BLOCK 3026,2.471916737031836e-60
BLOCK 3027,2.7991158440272873e-24
BLOCK 3028,5.553753771537516e-19
BLOCK 3030,7.524922017149304e-62
BLOCK 3031,6.910761414880663e-24
BLOCK 4047,1.188207613340876e-120
BLOCK 4057,3.903243428447899e-151
BLOCK 4000,2.7095549346139014e-113
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,1.5222930409e-313
BLOCK 1002,2.935844590615889e-286
BLOCK 1003,1.03803699103465e-293
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,1.0645994123666162e-157
BLOCK 1014,6.402239738976316e-69
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,7.049274101190625e-70
BLOCK 1056,2.6404721104925525e-78
BLOCK 1057,9.519368036372744e-73
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,3.3401993779033086e-152
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,9.847389051988193e-16
BLOCK 2024,7.299543233861985e-13
BLOCK 3001,4.393360194795625e-12
BLOCK 3002,3.5288582381255316e-11
BLOCK 3003,3.3735187985298865e-12
BLOCK 3004,6.278871044617405e-11
BLOCK 3005,4.3830607002805474e-10
BLOCK 3006,1.4883773461284687e-10
BLOCK 3007,1.685149694701301e-11
BLOCK 3008,4.181792056519283e-15
BLOCK 3009,1.698771160226946e-14
BLOCK 3018,3.396828485427648e-20
BLOCK 3019,1.4399089587026152e-29
BLOCK 3020,2.6589417430157113e-47
BLOCK 3021,3.3879394808687643e-40
BLOCK 3022,9.481827249163942e-45
BLOCK 3023,2.7369374369464994e-58
BLOCK 3024,4.4137187174793544e-79
BLOCK 3029,5.748107318096934e-67
BLOCK 2030,6.882840432003329e-14
BLOCK 3000,1.4822031863399296e-17
BLOCK 3016,1.9730071189029492e-26
BLOCK 3032,5.764782737561808e-43
BLOCK 3033,4.232769005252816e-30
BLOCK 3034,9.84815808133305e-79
BLOCK 3035,2.861007289990237e-88
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,6.53805446133165e-310
BLOCK 4003,3.924982138510266e-24
BLOCK 4004,6.999207504737215e-31
BLOCK 4005,1.009412129896934e-126
BLOCK 4006,1.742399958633897e-113
BLOCK 4007,4.306798352371035e-128
BLOCK 4008,4.0819395574651986e-49
BLOCK 4009,1.9335950701804248e-46
BLOCK 4010,1.125138080664302e-40
BLOCK 4011,9.67773040964651e-36
BLOCK 4012,1.402612964088079e-45
BLOCK 4013,2.6594383838099136e-77
BLOCK 4014,2.8136947064057324e-59
BLOCK 4015,4.220286929288427e-57
BLOCK 4016,0.0
BLOCK 4017,1.135266780135921e-56
BLOCK 4018,1.4388095430862677e-159
BLOCK 4019,2.484393702395052e-86
BLOCK 4020,1.823121544241684e-43
BLOCK 4021,2.1321776488691076e-77
BLOCK 4022,0.0
BLOCK 4023,2.1668565216388744e-150
BLOCK 4024,3.877659464252674e-155
BLOCK 4025,5.908068961829061e-171
BLOCK 4026,4.981225464884241e-157
BLOCK 4027,4.877872333417699e-154
BLOCK 4028,4.280329500423253e-147
BLOCK 4029,4.481456306791927e-124
BLOCK 4030,5.403183165121781e-143
BLOCK 4031,9.68854744160798e-122
BLOCK 4032,3.647355366466141e-173
BLOCK 4033,8.063802118203047e-132
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,2.5490104837093645e-166
BLOCK 4035,5.853322326689491e-172
BLOCK 4036,7.957927315177203e-168
BLOCK 4037,9.346807824788488e-175
BLOCK 4038,8.660237893435667e-214
BLOCK 4039,7.149556554307342e-224
BLOCK 4040,7.487936626293891e-266
BLOCK 4041,3.672594557743566e-177
BLOCK 4042,2.9654752857589104e-206
BLOCK 4043,2.3346580132229833e-179
BLOCK 4044,3.0039024195323398e-155
BLOCK 4045,5.044408393267379e-140
BLOCK 4046,1.6737424883688999e-136
BLOCK 4048,1.1466673525547537e-100
BLOCK 4049,7.871302834456157e-104
BLOCK 4050,2.506568428980349e-96
BLOCK 4051,6.766893817449208e-126
BLOCK 4052,3.2211390639163294e-132
BLOCK 4053,3.069305698431539e-134
BLOCK 4054,1.0797436853645233e-139
BLOCK 4055,6.086810283619917e-142
BLOCK 4056,2.756450251951178e-156
BLOCK 4058,1.4818395589462658e-141
BLOCK 4059,5.485336664395283e-141
BLOCK 4061,1.009338232479403e-179
BLOCK 4062,1.4224444372599275e-173
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,7.754031717124807e-11
BLOCK 2032,6.172680351559642e-10
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,2.5716923640798457e-21
BLOCK 2058,7.828631762144658e-12
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,6.469009452841836e-169
BLOCK 4064,1.5316308530368743e-159
BLOCK 4065,3.5783719649609003e-265
