,Community Level Hazard Index PAC1,Community Level Hazard Index PAC2,Community Level Hazard Index PAC3
Total Vinyl Chloride,1.2155850371437102e-20,2.5095949153934665e-21,6.483120198099787e-22
Total HCl 100%,1.1148705814194433e-08,9.121668393431808e-10,2.0067670465549978e-10
Total HCl 52%,5.797334219766674e-09,4.74327345253637e-10,1.0435201595580013e-10
Total HCl 20%,2.229733328064274e-09,1.8243272684162246e-10,4.013519990515693e-11
Total Phosgene 7,0.00024265691016212354,2.2243550098194657e-05,8.897420039277862e-06
Total Phosgene 0.7,2.426587146850905e-05,2.224371551279997e-06,8.897486205119985e-07
Total Phosgene 0.07,2.4266322599250777e-06,2.224412904931322e-07,8.897651619725288e-08
ethyl_acryl_100,0.08349438714125035,0.010556761592571882,0.008349438714125034
ethyl_acryl_80,0.06679369145544056,0.008445179379423521,0.006679369145544057
ethyl_acryl_50,0.041747193570625146,0.005278380796285938,0.0041747193570625145
ethyl_acryl_20,0.01670069568580974,0.0021115822131483578,0.001670069568580974
butyl_acryl,0.21902610063072991,0.013850179892825568,0.0037672489308485544
PM2.5,1.080807183782682e-14,1.080807183782682e-14,1.080807183782682e-14
PM10,6.078444748111478e-15,4.862755798489183e-15,4.862755798489183e-15
Total Dioxin 20%,2.7969842950327528e-11,2.5971997025304127e-12,4.27774068652068e-13
Total Dioxin 50%,6.940664732119196e-11,6.4449029655392524e-12,1.0615134296182297e-12
Total Dioxin 80%,1.1187937180132132e-10,1.0388798810122691e-11,1.7110962746084432e-12
Total Dioxin 100%,1.3984921475165252e-10,1.2985998512653449e-11,2.1388703432605677e-12
