,Total Dioxin 50% Cumulative Hazard Index PAC1
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,8.925452676260358e-134
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,2.7342654980231945e-178
BLOCK 1006,6.576943527026177e-282
BLOCK 1007,2.240065465951116e-158
BLOCK 1008,5.102133774899243e-108
BLOCK 1011,1.625819833129211e-13
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,5.135045521926882e-16
BLOCK 3011,1.034115369043884e-15
BLOCK 3012,1.81918100583486e-14
BLOCK 3013,1.5645894945081483e-16
BLOCK 3014,1.3396272549127256e-13
BLOCK 3015,5.2519484800077446e-23
BLOCK 3017,5.851397014926935e-21
BLOCK 3025,4.684502077909689e-88
BLOCK 3026,4.186912528891432e-57
BLOCK 3027,1.995029032999614e-24
BLOCK 3028,9.895328553189507e-20
BLOCK 3030,1.4230493000832047e-57
BLOCK 3031,5.60694151079907e-24
BLOCK 4047,1.8045357607624612e-109
BLOCK 4057,9.343233118987703e-134
BLOCK 4000,2.0750874912034377e-178
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,7.680687174230244e-275
BLOCK 1002,6.472725180733167e-244
BLOCK 1003,6.988392343896548e-243
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,9.501263e-318
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,1.6342025059714152e-116
BLOCK 1014,4.781292307041821e-58
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,1.5799708510368413e-67
BLOCK 1056,1.1205232392187815e-75
BLOCK 1057,3.8923716672458463e-79
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,2.979534458081554e-103
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,4.731691237444896e-17
BLOCK 2024,2.775021629569152e-14
BLOCK 3001,1.702035520857213e-13
BLOCK 3002,1.2334541616581813e-12
BLOCK 3003,1.361679040793974e-13
BLOCK 3004,1.427378840652575e-12
BLOCK 3005,4.879818567670032e-12
BLOCK 3006,1.1161005641938621e-12
BLOCK 3007,1.692610755642348e-13
BLOCK 3008,2.480415025719725e-16
BLOCK 3009,7.529896540313615e-16
BLOCK 3018,3.5076875094578966e-21
BLOCK 3019,2.697975861074458e-29
BLOCK 3020,1.719109220676931e-45
BLOCK 3021,2.5440785910958163e-39
BLOCK 3022,1.4301905619568318e-43
BLOCK 3023,4.71298132174951e-56
BLOCK 3024,1.1484224517410117e-73
BLOCK 3029,1.3017182630836503e-62
BLOCK 2030,3.0969462015830366e-15
BLOCK 3000,1.0530238316228875e-18
BLOCK 3016,5.3211184055084434e-27
BLOCK 3032,2.740759235035491e-40
BLOCK 3033,5.353957472847994e-29
BLOCK 3034,3.192930701828677e-73
BLOCK 3035,1.2534945038944506e-79
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,5.160372419640982e-25
BLOCK 4004,2.1681005780782298e-31
BLOCK 4005,4.546121223947034e-204
BLOCK 4006,3.1086931661809632e-158
BLOCK 4007,3.7540802835538766e-187
BLOCK 4008,9.383556956279947e-49
BLOCK 4009,4.552768668254804e-46
BLOCK 4010,1.2721942733494076e-40
BLOCK 4011,6.920723657655353e-36
BLOCK 4012,3.968450280519789e-45
BLOCK 4013,5.782036793365549e-75
BLOCK 4014,4.539961471326141e-58
BLOCK 4015,4.233572507186285e-56
BLOCK 4016,0.0
BLOCK 4017,1.3841909541959125e-55
BLOCK 4018,1.0922039064449155e-289
BLOCK 4019,9.521175736983229e-83
BLOCK 4020,5.245370578565377e-43
BLOCK 4021,7.920902474962177e-74
BLOCK 4022,0.0
BLOCK 4023,2.4734851590475762e-141
BLOCK 4024,2.8422549774828955e-145
BLOCK 4025,2.3249758285767312e-158
BLOCK 4026,4.817781854712726e-145
BLOCK 4027,2.344943539050438e-141
BLOCK 4028,8.691490039435672e-136
BLOCK 4029,1.0737610807753578e-115
BLOCK 4030,1.3949698339526162e-133
BLOCK 4031,7.189589171288431e-112
BLOCK 4032,3.8762152132169376e-156
BLOCK 4033,9.21379000344904e-120
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,3.059693359864048e-149
BLOCK 4035,1.3223036740723563e-155
BLOCK 4036,3.0992393126539976e-152
BLOCK 4037,6.133318447805137e-159
BLOCK 4038,9.284319152503262e-193
BLOCK 4039,2.545867835326725e-204
BLOCK 4040,3.2559204919075294e-241
BLOCK 4041,6.6202787887981805e-158
BLOCK 4042,1.961448348269954e-183
BLOCK 4043,2.839719577205606e-158
BLOCK 4044,1.4447043453866773e-138
BLOCK 4045,3.099619656676595e-125
BLOCK 4046,1.942211136205644e-123
BLOCK 4048,1.6759842778748134e-92
BLOCK 4049,6.921636262564251e-95
BLOCK 4050,3.1934975666801544e-88
BLOCK 4051,1.9629462035913222e-112
BLOCK 4052,2.022255422505861e-118
BLOCK 4053,2.053385131022723e-120
BLOCK 4054,2.0446117693430966e-125
BLOCK 4055,3.638988274514186e-127
BLOCK 4056,1.8426120374929058e-137
BLOCK 4058,5.5020897550408166e-126
BLOCK 4059,9.975960774425226e-126
BLOCK 4061,6.186838569463541e-157
BLOCK 4062,5.206499786092571e-152
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,2.4994384747128322e-12
BLOCK 2032,1.8056339435269696e-11
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,2.3115879605282734e-22
BLOCK 2058,2.811928453737465e-13
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,7.073239820883807e-148
BLOCK 4064,1.2153105564394492e-139
BLOCK 4065,7.46527290150956e-241
