,Total Phosgene 7 Cumulative Hazard Index PAC3
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,2.0283627814443192e-221
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,1.8524619795496926e-303
BLOCK 1006,0.0
BLOCK 1007,6.176e-321
BLOCK 1008,7.956294431980498e-199
BLOCK 1011,9.551247908763483e-21
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,1.510514535148012e-43
BLOCK 3011,1.8601560322188867e-42
BLOCK 3012,4.2176018999647557e-38
BLOCK 3013,2.177223307126727e-40
BLOCK 3014,4.8117339166665225e-33
BLOCK 3015,1.3792216563598708e-45
BLOCK 3017,7.304495686489882e-39
BLOCK 3025,1.1980301990956788e-134
BLOCK 3026,5.3850978066475064e-95
BLOCK 3027,1.2321850523238069e-60
BLOCK 3028,7.937966619549852e-57
BLOCK 3030,3.659437751066232e-104
BLOCK 3031,2.7137937171931602e-64
BLOCK 4047,9.166621475528576e-164
BLOCK 4057,7.191665040982581e-203
BLOCK 4000,5.40385193086987e-147
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,0.0
BLOCK 1002,0.0
BLOCK 1003,0.0
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,0.0
BLOCK 1014,2.378060948578036e-181
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,3.530325159446769e-64
BLOCK 1056,4.8584122372925086e-63
BLOCK 1057,8.498898081007395e-76
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,0.0
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,8.564336873888159e-30
BLOCK 2024,3.3615168220047014e-27
BLOCK 3001,9.878440167971693e-30
BLOCK 3002,6.702423585471347e-29
BLOCK 3003,4.104053067620457e-31
BLOCK 3004,1.1102867965078499e-31
BLOCK 3005,4.367205258444334e-29
BLOCK 3006,2.7234417242263545e-29
BLOCK 3007,3.985504627097311e-33
BLOCK 3008,8.576794735474236e-45
BLOCK 3009,4.638136674854029e-43
BLOCK 3018,5.5421695549063054e-39
BLOCK 3019,2.2127876947425907e-63
BLOCK 3020,6.24415412914094e-80
BLOCK 3021,7.504192405554942e-69
BLOCK 3022,8.85122588588577e-73
BLOCK 3023,2.094457494669166e-86
BLOCK 3024,3.500997617541862e-116
BLOCK 3029,2.579453687766155e-105
BLOCK 2030,3.292387991878272e-30
BLOCK 3000,2.790770945168396e-35
BLOCK 3016,3.6335212515919973e-47
BLOCK 3032,1.8672454230668244e-94
BLOCK 3033,9.382133871897727e-89
BLOCK 3034,1.2217031969775833e-116
BLOCK 3035,1.011726933214805e-138
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,7.646892117996131e-41
BLOCK 4004,1.2296108056825262e-48
BLOCK 4005,6.5704314800347e-132
BLOCK 4006,7.721630939675741e-105
BLOCK 4007,7.858009287636117e-114
BLOCK 4008,7.664396956675663e-67
BLOCK 4009,2.0829819965975223e-65
BLOCK 4010,2.0596655000513086e-59
BLOCK 4011,3.905594339742208e-55
BLOCK 4012,1.0519199639496815e-65
BLOCK 4013,3.75098198897057e-98
BLOCK 4014,1.9814863453423023e-79
BLOCK 4015,1.2315904317012687e-76
BLOCK 4016,0.0
BLOCK 4017,5.583357607951736e-77
BLOCK 4018,5.5653905156093857e-157
BLOCK 4019,1.6319851566099796e-110
BLOCK 4020,7.822612439422054e-65
BLOCK 4021,1.0592782314634237e-104
BLOCK 4022,0.0
BLOCK 4023,1.1321530847630495e-177
BLOCK 4024,1.4599159746224942e-183
BLOCK 4025,7.193328140379538e-203
BLOCK 4026,1.4652696726288243e-190
BLOCK 4027,2.9805301943177165e-190
BLOCK 4028,2.645018034469574e-181
BLOCK 4029,1.208676595288635e-155
BLOCK 4030,8.092827334195116e-173
BLOCK 4031,2.328672211565601e-159
BLOCK 4032,1.232597639442998e-215
BLOCK 4033,1.9424356135371413e-173
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,3.986940664010576e-211
BLOCK 4035,5.0949400653364615e-213
BLOCK 4036,4.53833033599069e-208
BLOCK 4037,1.1623192334473594e-213
BLOCK 4038,6.390227687189565e-255
BLOCK 4039,5.1167852539543494e-260
BLOCK 4040,1.7761505821238395e-303
BLOCK 4041,2.6241975066965725e-224
BLOCK 4042,3.2912749453776927e-253
BLOCK 4043,9.700001912128299e-231
BLOCK 4044,6.094624507838256e-203
BLOCK 4045,7.703580133183e-188
BLOCK 4046,8.96635867017781e-180
BLOCK 4048,2.115187487367213e-140
BLOCK 4049,1.3728236057416051e-145
BLOCK 4050,4.058884743176201e-138
BLOCK 4051,1.322154109776155e-175
BLOCK 4052,4.912906412033761e-180
BLOCK 4053,3.298843693205002e-181
BLOCK 4054,7.422646251432788e-186
BLOCK 4055,7.174841269558438e-189
BLOCK 4056,1.72697056908439e-210
BLOCK 4058,1.8891985801124228e-191
BLOCK 4059,4.864922242618192e-190
BLOCK 4061,8.238519805711996e-236
BLOCK 4062,1.1535590135569262e-228
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,8.471210098025253e-26
BLOCK 2032,6.785364039405249e-24
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,4.961214618823842e-37
BLOCK 2058,1.9695363651599014e-27
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,1.9026745210328472e-224
BLOCK 4064,8.903719461467689e-216
BLOCK 4065,2.1062747677839376e-302
