,PM2.5 Cumulative Hazard Index PAC3
BLOCK 1030,8.512150822330788e-25
BLOCK 1033,7.134207429662152e-22
BLOCK 1035,1.9980375120133914e-20
BLOCK 1037,3.823674182418384e-20
BLOCK 1038,7.089612978503848e-22
BLOCK 2009,9.677286484204296e-28
BLOCK 2013,9.7226403203109e-21
BLOCK 2008,1.934424462625862e-25
BLOCK 1009,2.3183113698470314e-46
BLOCK 1016,5.727813299895637e-19
BLOCK 1020,3.83238707029179e-28
BLOCK 1026,8.324595053365887e-28
BLOCK 1027,9.417355917270476e-22
BLOCK 1028,2.0806213881195282e-24
BLOCK 1029,7.308011897709274e-27
BLOCK 1039,9.680790233369318e-23
BLOCK 1040,1.8770636087991886e-23
BLOCK 1052,2.415588976267122e-19
BLOCK 1054,4.065621660688958e-19
BLOCK 2025,7.3916344722083325e-22
BLOCK 2028,4.812335563876227e-23
BLOCK 2029,1.825520389390677e-22
BLOCK 1005,8.697348049887683e-41
BLOCK 1006,2.055910460558205e-44
BLOCK 1007,3.917131339416877e-50
BLOCK 1008,5.654226422673891e-57
BLOCK 1011,1.0443887659308512e-36
BLOCK 1024,4.076349346654173e-28
BLOCK 1025,7.992999203634566e-26
BLOCK 3010,2.101128268993452e-58
BLOCK 3011,3.450379152028885e-57
BLOCK 3012,5.018888801133028e-52
BLOCK 3013,7.942481980247985e-52
BLOCK 3014,1.781567655018325e-45
BLOCK 3015,2.296759301376927e-47
BLOCK 3017,2.4580788019097486e-41
BLOCK 3025,1.5915320289222786e-49
BLOCK 3026,1.7610850964304076e-52
BLOCK 3027,3.2832306500408055e-68
BLOCK 3028,2.2178053961469092e-73
BLOCK 3030,6.0672174329734924e-61
BLOCK 3031,4.822370248515381e-76
BLOCK 4047,4.2035798772317854e-49
BLOCK 4057,7.210686232996927e-45
BLOCK 4000,3.2422741783076797e-75
BLOCK 4001,1.7305809097002183e-65
BLOCK 1000,4.561926482907732e-31
BLOCK 1001,1.628908874688919e-32
BLOCK 1002,9.514561130291882e-34
BLOCK 1003,2.988207115336283e-34
BLOCK 1004,3.9026110021123374e-19
BLOCK 1010,2.002224780987707e-19
BLOCK 1017,3.493192842162713e-26
BLOCK 1018,3.5598354580614615e-29
BLOCK 1019,1.2910898617580778e-28
BLOCK 2000,2.0892234814799274e-19
BLOCK 2001,2.422860744896962e-19
BLOCK 2002,2.3707356941233814e-19
BLOCK 2003,2.1451619698471819e-19
BLOCK 2004,1.4454336782961258e-27
BLOCK 2005,4.2816146976117465e-31
BLOCK 2006,1.382150666355533e-31
BLOCK 2007,3.0645636381842217e-31
BLOCK 2010,2.1721694357746478e-29
BLOCK 2011,1.6685626118387204e-19
BLOCK 2012,1.0666433283418956e-20
BLOCK 2026,1.8407340451284023e-23
BLOCK 2027,4.0020263991292586e-24
BLOCK 2051,2.8041664163845646e-19
BLOCK 2054,2.5196692885749795e-19
BLOCK 2055,4.099538666043299e-21
BLOCK 2056,4.849768243225902e-20
BLOCK 5030,4.8242458517221435e-73
BLOCK 5031,1.236499690895967e-59
BLOCK 1012,7.23598122947871e-19
BLOCK 1013,4.902205079386085e-114
BLOCK 1014,2.180364596128545e-179
BLOCK 1015,5.356127423984683e-19
BLOCK 1021,4.249662467383878e-29
BLOCK 1022,5.701268937219285e-29
BLOCK 1023,2.6545711783939286e-23
BLOCK 1031,1.923291943858785e-23
BLOCK 1032,3.6953190520050426e-23
BLOCK 1034,2.172464521387925e-26
BLOCK 1036,6.621191663561644e-20
