,Total Vinyl Chloride Cumulative Hazard Index PAC3
BLOCK 1030,0.0
BLOCK 1033,0.0
BLOCK 1035,0.0
BLOCK 1037,0.0
BLOCK 1038,0.0
BLOCK 2009,0.0
BLOCK 2013,0.0
BLOCK 2008,0.0
BLOCK 1009,3.290204003690834e-268
BLOCK 1016,0.0
BLOCK 1020,0.0
BLOCK 1026,0.0
BLOCK 1027,0.0
BLOCK 1028,0.0
BLOCK 1029,0.0
BLOCK 1039,0.0
BLOCK 1040,0.0
BLOCK 1052,0.0
BLOCK 1054,0.0
BLOCK 2025,0.0
BLOCK 2028,0.0
BLOCK 2029,0.0
BLOCK 1005,0.0
BLOCK 1006,0.0
BLOCK 1007,0.0
BLOCK 1008,1.9070478212484464e-243
BLOCK 1011,7.375721148386074e-45
BLOCK 1024,0.0
BLOCK 1025,0.0
BLOCK 3010,8.616953505674197e-55
BLOCK 3011,9.54715822440683e-54
BLOCK 3012,2.4950761098159243e-49
BLOCK 3013,1.014685280772806e-51
BLOCK 3014,4.5174804066733014e-45
BLOCK 3015,1.0469716801453794e-57
BLOCK 3017,5.4064094554705775e-52
BLOCK 3025,5.758099727578315e-156
BLOCK 3026,7.17913801587203e-111
BLOCK 3027,1.4842902881829096e-72
BLOCK 3028,2.6479216180792896e-68
BLOCK 3030,6.046638745361626e-122
BLOCK 3031,1.5694129245596357e-76
BLOCK 4047,3.6213930462413394e-190
BLOCK 4057,5.478590038104277e-239
BLOCK 4000,0.0
BLOCK 4001,0.0
BLOCK 1000,0.0
BLOCK 1001,0.0
BLOCK 1002,0.0
BLOCK 1003,0.0
BLOCK 1004,0.0
BLOCK 1010,0.0
BLOCK 1017,0.0
BLOCK 1018,0.0
BLOCK 1019,0.0
BLOCK 2000,0.0
BLOCK 2001,0.0
BLOCK 2002,0.0
BLOCK 2003,0.0
BLOCK 2004,0.0
BLOCK 2005,0.0
BLOCK 2006,0.0
BLOCK 2007,0.0
BLOCK 2010,0.0
BLOCK 2011,0.0
BLOCK 2012,0.0
BLOCK 2026,0.0
BLOCK 2027,0.0
BLOCK 2051,0.0
BLOCK 2054,0.0
BLOCK 2055,0.0
BLOCK 2056,0.0
BLOCK 5030,0.0
BLOCK 5031,0.0
BLOCK 1012,0.0
BLOCK 1013,0.0
BLOCK 1014,1.6291823156147053e-234
BLOCK 1015,0.0
BLOCK 1021,0.0
BLOCK 1022,0.0
BLOCK 1023,0.0
BLOCK 1031,0.0
BLOCK 1032,0.0
BLOCK 1034,0.0
BLOCK 1036,0.0
BLOCK 1048,0.0
BLOCK 1049,0.0
BLOCK 1050,0.0
BLOCK 1051,0.0
BLOCK 1053,0.0
BLOCK 1055,1.9911192998310046e-129
BLOCK 1056,2.5786224965562603e-133
BLOCK 1057,1.8906720237038618e-153
BLOCK 1058,0.0
BLOCK 1059,0.0
BLOCK 1060,0.0
BLOCK 1061,0.0
BLOCK 1062,0.0
BLOCK 1063,0.0
BLOCK 1064,0.0
BLOCK 1065,0.0
BLOCK 1066,0.0
BLOCK 1067,0.0
BLOCK 3039,0.0
BLOCK 3040,0.0
BLOCK 3041,0.0
BLOCK 3042,0.0
BLOCK 3043,0.0
BLOCK 3044,0.0
BLOCK 3045,0.0
BLOCK 3046,0.0
BLOCK 3047,0.0
BLOCK 3048,0.0
BLOCK 3049,0.0
BLOCK 3050,0.0
BLOCK 2059,0.0
BLOCK 2060,0.0
BLOCK 2061,0.0
BLOCK 2064,0.0
BLOCK 2014,0.0
BLOCK 2015,0.0
BLOCK 2016,0.0
BLOCK 2017,0.0
BLOCK 2018,0.0
BLOCK 2019,0.0
BLOCK 2020,0.0
BLOCK 2021,0.0
BLOCK 2022,0.0
BLOCK 2023,1.7232572179989776e-45
BLOCK 2024,1.4867501259896175e-42
BLOCK 3001,5.710031965040661e-43
BLOCK 3002,4.656776773430593e-42
BLOCK 3003,8.416803583903291e-44
BLOCK 3004,6.236872796497766e-44
BLOCK 3005,1.9166279642580244e-42
BLOCK 3006,5.234815492515446e-44
BLOCK 3007,2.1741897650331792e-46
BLOCK 3008,8.277311938396107e-56
BLOCK 3009,3.262129451103106e-54
BLOCK 3018,3.618424763870849e-52
BLOCK 3019,9.789657354874738e-76
BLOCK 3020,4.3283743714891173e-94
BLOCK 3021,4.75755340745862e-82
BLOCK 3022,2.2581463647357108e-86
BLOCK 3023,3.301775338823377e-101
BLOCK 3024,8.250390645740765e-135
BLOCK 3029,9.046353399556284e-123
BLOCK 2030,3.059447450616309e-44
BLOCK 3000,9.118468630824357e-49
BLOCK 3016,4.158341256730252e-60
BLOCK 3032,1.0988526882893072e-111
BLOCK 3033,1.9322666387208897e-105
BLOCK 3034,1.8913513991076354e-135
BLOCK 3035,2.322290589175393e-163
BLOCK 3036,0.0
BLOCK 3037,0.0
BLOCK 3038,0.0
BLOCK 4002,0.0
BLOCK 4003,3.753731675344168e-55
BLOCK 4004,8.334157311041069e-63
BLOCK 4005,0.0
BLOCK 4006,5.570243385252807e-249
BLOCK 4007,4.624204129991062e-280
BLOCK 4008,5.650158319894267e-82
BLOCK 4009,5.206595235041212e-80
BLOCK 4010,9.288175551768613e-74
BLOCK 4011,5.287511064693795e-69
BLOCK 4012,5.6816139184734445e-80
BLOCK 4013,2.79460023675098e-114
BLOCK 4014,1.5972202488085475e-94
BLOCK 4015,1.0266105629599812e-91
BLOCK 4016,0.0
BLOCK 4017,6.894022463745313e-92
BLOCK 4018,0.0
BLOCK 4019,2.6842432675829956e-127
BLOCK 4020,9.938272496345283e-79
BLOCK 4021,4.260270816911233e-121
BLOCK 4022,0.0
BLOCK 4023,2.360390018589838e-200
BLOCK 4024,3.9669945768087704e-207
BLOCK 4025,1.1629423871662878e-229
BLOCK 4026,9.781101394892558e-217
BLOCK 4027,1.686328138064444e-217
BLOCK 4028,9.94725857702717e-207
BLOCK 4029,1.7251119858828066e-177
BLOCK 4030,7.613651712391155e-196
BLOCK 4031,2.172057897932843e-183
BLOCK 4032,4.0269896746618716e-249
BLOCK 4033,1.1379350871177546e-200
BLOCK 5000,0.0
BLOCK 5001,0.0
BLOCK 5002,0.0
BLOCK 5003,0.0
BLOCK 5004,0.0
BLOCK 5005,0.0
BLOCK 5006,0.0
BLOCK 5007,0.0
BLOCK 5008,0.0
BLOCK 5009,0.0
BLOCK 5010,0.0
BLOCK 5011,0.0
BLOCK 5012,0.0
BLOCK 5013,0.0
BLOCK 5014,0.0
BLOCK 5015,0.0
BLOCK 5016,0.0
BLOCK 5017,0.0
BLOCK 5018,0.0
BLOCK 5019,0.0
BLOCK 5020,0.0
BLOCK 5021,0.0
BLOCK 5022,0.0
BLOCK 5023,0.0
BLOCK 5024,0.0
BLOCK 5025,0.0
BLOCK 5026,0.0
BLOCK 5027,0.0
BLOCK 5028,0.0
BLOCK 5029,0.0
BLOCK 5032,0.0
BLOCK 5033,0.0
BLOCK 5034,0.0
BLOCK 5035,0.0
BLOCK 2063,0.0
BLOCK 4034,3.666363242331372e-245
BLOCK 4035,2.055321062671166e-245
BLOCK 4036,2.1716070292947276e-239
BLOCK 4037,4.8751128407972924e-245
BLOCK 4038,4.79280202647653e-293
BLOCK 4039,1.8234172157851635e-295
BLOCK 4040,0.0
BLOCK 4041,1.3071523509516086e-261
BLOCK 4042,6.1427405927124425e-295
BLOCK 4043,1.6679721730544913e-271
BLOCK 4044,3.854049326807195e-237
BLOCK 4045,1.1060542146578126e-219
BLOCK 4046,1.574796421190103e-208
BLOCK 4048,1.2923773728392733e-162
BLOCK 4049,5.018486165443934e-169
BLOCK 4050,1.5686949260987657e-160
BLOCK 4051,3.276382779454631e-206
BLOCK 4052,1.2484957297848755e-210
BLOCK 4053,1.190371927229677e-211
BLOCK 4054,1.0846698720207076e-216
BLOCK 4055,1.6912662214831743e-220
BLOCK 4056,3.5711537502954835e-249
BLOCK 4058,8.860815747847227e-225
BLOCK 4059,9.08107902450075e-223
BLOCK 4061,3.0587010882035573e-280
BLOCK 4062,3.5529803761127937e-271
BLOCK 2035,0.0
BLOCK 2037,0.0
BLOCK 2038,0.0
BLOCK 2040,0.0
BLOCK 2041,0.0
BLOCK 2042,0.0
BLOCK 2043,0.0
BLOCK 2044,0.0
BLOCK 1045,0.0
BLOCK 1047,0.0
BLOCK 1041,0.0
BLOCK 1042,0.0
BLOCK 1043,0.0
BLOCK 1044,0.0
BLOCK 1046,0.0
BLOCK 2033,0.0
BLOCK 2045,0.0
BLOCK 2046,0.0
BLOCK 2047,0.0
BLOCK 2048,0.0
BLOCK 2049,0.0
BLOCK 2050,0.0
BLOCK 2052,0.0
BLOCK 2062,0.0
BLOCK 2031,1.3785396511333084e-40
BLOCK 2032,1.8801121991102736e-39
BLOCK 2034,0.0
BLOCK 2036,0.0
BLOCK 2039,0.0
BLOCK 2053,0.0
BLOCK 2057,9.062336770771368e-52
BLOCK 2058,8.097329875788783e-42
BLOCK 2065,0.0
BLOCK 2066,0.0
BLOCK 2067,0.0
BLOCK 4063,2.0439785651530313e-266
BLOCK 4064,1.75041930898798e-256
BLOCK 4065,0.0
