,butyl_acryl Cumulative Hazard Index PAC3
BLOCK 1030,2.5441117784953254e-07
BLOCK 1033,1.2605400864976752e-07
BLOCK 1035,9.234790959017098e-08
BLOCK 1037,9.210636085871763e-08
BLOCK 1038,1.1945633842569003e-07
BLOCK 2009,2.5497940249229097e-07
BLOCK 2013,1.2008386852518759e-06
BLOCK 2008,2.568577179470414e-07
BLOCK 1009,8.321488421078132e-07
BLOCK 1016,8.276871803750904e-07
BLOCK 1020,2.623505464362763e-07
BLOCK 1026,2.567720505379553e-07
BLOCK 1027,1.5181130329617547e-07
BLOCK 1028,3.3032811438522466e-07
BLOCK 1029,5.583067603019411e-07
BLOCK 1039,1.5506751316421076e-07
BLOCK 1040,2.3962628721292964e-07
BLOCK 1052,4.627171892807689e-07
BLOCK 1054,5.946938706985478e-07
BLOCK 2025,1.1433270339578292e-07
BLOCK 2028,5.226834460748615e-07
BLOCK 2029,5.483240546254135e-07
BLOCK 1005,4.974674169378192e-07
BLOCK 1006,1.144098685302419e-06
BLOCK 1007,9.91179033673033e-07
BLOCK 1008,1.1929594030551851e-06
BLOCK 1011,4.253101067170259e-07
BLOCK 1024,2.5990931001796487e-07
BLOCK 1025,2.826923903317045e-07
BLOCK 3010,2.7466047327712763e-06
BLOCK 3011,2.6233909786268063e-06
BLOCK 3012,1.5328310997626551e-06
BLOCK 3013,6.356970395711234e-07
BLOCK 3014,6.397805593880676e-07
BLOCK 3015,1.7437384956247467e-07
BLOCK 3017,2.4616858545636186e-07
BLOCK 3025,5.068049054641793e-07
BLOCK 3026,1.2798690155338413e-07
BLOCK 3027,5.098761404078048e-07
BLOCK 3028,2.9526590247288343e-06
BLOCK 3030,1.6826775813454415e-07
BLOCK 3031,3.075544250691812e-07
BLOCK 4047,6.381678405920788e-07
BLOCK 4057,6.493532105204669e-07
BLOCK 4000,6.62499427972669e-15
BLOCK 4001,6.756058993383143e-07
BLOCK 1000,1.8509153309060762e-07
BLOCK 1001,1.8161040553970315e-07
BLOCK 1002,2.4064502739999785e-07
BLOCK 1003,3.1280323914520553e-07
BLOCK 1004,6.419089510903219e-07
BLOCK 1010,1.0290973561196167e-06
BLOCK 1017,4.351987820970447e-07
BLOCK 1018,2.982260600587333e-07
BLOCK 1019,2.576584921924967e-07
BLOCK 2000,3.998642416021746e-07
BLOCK 2001,5.05920524267086e-07
BLOCK 2002,5.336962541300489e-07
BLOCK 2003,4.976722953647659e-07
BLOCK 2004,2.4881171668410965e-07
BLOCK 2005,1.6824693936845168e-07
BLOCK 2006,1.584280390943725e-07
BLOCK 2007,1.67568235752814e-07
BLOCK 2010,2.1458224109789047e-07
BLOCK 2011,5.10044995605807e-07
BLOCK 2012,8.854433732384008e-07
BLOCK 2026,1.853545831912836e-07
BLOCK 2027,2.1608720029912254e-07
BLOCK 2051,6.134458868894065e-07
BLOCK 2054,6.221391340015114e-07
BLOCK 2055,1.2289752857014627e-06
BLOCK 2056,1.181196245683843e-06
BLOCK 5030,6.269656317241754e-17
BLOCK 5031,1.0034530012002805e-13
BLOCK 1012,8.053753940251009e-07
BLOCK 1013,2.8641203662490393e-06
BLOCK 1014,4.710524059471334e-07
BLOCK 1015,8.625541411648943e-07
BLOCK 1021,2.3450533522170332e-07
BLOCK 1022,2.3301885744568742e-07
BLOCK 1023,2.1647958066263123e-07
BLOCK 1031,1.9285709969225055e-07
BLOCK 1032,1.8495029916437354e-07
BLOCK 1034,3.4123569120087147e-07
BLOCK 1036,1.0334119207817162e-07
BLOCK 1048,3.3010137441289387e-07
BLOCK 1049,2.9681491302586055e-07
BLOCK 1050,2.0293352275846045e-07
BLOCK 1051,6.113394963119413e-07
BLOCK 1053,5.528240960518982e-07
BLOCK 1055,4.672397717099724e-17
BLOCK 1056,1.5006702002561737e-19
BLOCK 1057,1.4950087929841292e-19
BLOCK 1058,5.855455709378451e-07
BLOCK 1059,9.04474811014203e-08
BLOCK 1060,9.963553898489993e-07
BLOCK 1061,1.2323606438018583e-06
BLOCK 1062,2.092296077614711e-06
BLOCK 1063,8.081837286334213e-07
BLOCK 1064,7.384978377216792e-07
BLOCK 1065,3.893886592103054e-07
BLOCK 1066,1.166188019684424e-06
BLOCK 1067,2.812682516247346e-07
BLOCK 3039,1.593346065441342e-06
BLOCK 3040,1.1248651623388662e-06
BLOCK 3041,1.0146522722793503e-06
BLOCK 3042,1.2640418865775723e-06
BLOCK 3043,1.5018668923867224e-06
BLOCK 3044,9.224970508419826e-07
BLOCK 3045,1.2945525658082493e-06
BLOCK 3046,1.348800877494657e-06
BLOCK 3047,8.209972862778148e-07
BLOCK 3048,1.0039739708878058e-06
BLOCK 3049,2.2698532965749207e-06
BLOCK 3050,1.0107677104545182e-06
BLOCK 2059,1.368705598960768e-06
BLOCK 2060,1.9997578204516975e-06
BLOCK 2061,6.809808981769754e-07
BLOCK 2064,1.7153505918800723e-06
BLOCK 2014,1.0586470350448137e-06
BLOCK 2015,1.2732945405624856e-06
BLOCK 2016,4.917819104579975e-07
BLOCK 2017,5.81352452222858e-07
BLOCK 2018,1.4857386239841094e-06
BLOCK 2019,3.207732578606639e-06
BLOCK 2020,6.068947994308839e-06
BLOCK 2021,1.0412777677672901e-06
BLOCK 2022,4.377394269214902e-06
BLOCK 2023,1.7742360669190862e-07
BLOCK 2024,7.916973874589673e-08
BLOCK 3001,5.804243710017807e-07
BLOCK 3002,6.179768018915834e-07
BLOCK 3003,7.412258277339365e-07
BLOCK 3004,2.0774928207096038e-06
BLOCK 3005,1.201137777300992e-06
BLOCK 3006,1.3606502483762329e-06
BLOCK 3007,1.5565352235831955e-06
BLOCK 3008,2.7619388721173024e-06
BLOCK 3009,2.878212821829221e-06
BLOCK 3018,2.1512496791510195e-07
BLOCK 3019,4.122839279559964e-07
BLOCK 3020,9.945078343712622e-08
BLOCK 3021,8.577967884134548e-08
BLOCK 3022,8.06277952458916e-08
BLOCK 3023,9.074755490240404e-08
BLOCK 3024,3.1451329840486764e-07
BLOCK 3029,1.8821325765232482e-07
BLOCK 2030,8.488886859479201e-08
BLOCK 3000,3.4064562972447977e-07
BLOCK 3016,3.4202707164508416e-07
BLOCK 3032,3.2347522095183417e-07
BLOCK 3033,1.7296054806408055e-06
BLOCK 3034,3.187553881775627e-07
BLOCK 3035,5.91116422229274e-07
BLOCK 3036,1.2869043190967881e-07
BLOCK 3037,1.6765354654530453e-07
BLOCK 3038,1.2951111643405652e-06
BLOCK 4002,1.7892191373963684e-07
BLOCK 4003,1.7498008523223164e-07
BLOCK 4004,2.814206582796558e-07
BLOCK 4005,4.33979459940655e-15
BLOCK 4006,2.0346877965384402e-19
BLOCK 4007,7.468605432591293e-18
BLOCK 4008,4.184482599136569e-08
BLOCK 4009,4.6172816030453905e-08
BLOCK 4010,4.583754448703444e-08
BLOCK 4011,7.741063512530098e-08
BLOCK 4012,5.035183657098164e-08
BLOCK 4013,1.0720812979345218e-07
BLOCK 4014,5.4218569479657826e-08
BLOCK 4015,5.014961438972044e-08
BLOCK 4016,8.482103973642576e-09
BLOCK 4017,5.316294741292246e-08
BLOCK 4018,8.315007303225702e-13
BLOCK 4019,2.0266058850300118e-07
BLOCK 4020,5.491332964757813e-08
BLOCK 4021,1.8502960902684152e-07
BLOCK 4022,3.517663734932242e-07
BLOCK 4023,3.153624575973229e-07
BLOCK 4024,3.176028913791357e-07
BLOCK 4025,2.9891222087769996e-07
BLOCK 4026,3.7110406595650715e-07
BLOCK 4027,4.1616027119846423e-07
BLOCK 4028,4.1713842618229885e-07
BLOCK 4029,4.2437681567692626e-07
BLOCK 4030,3.6685563712147765e-07
BLOCK 4031,5.351132168815701e-07
BLOCK 4032,3.8612239279281745e-07
BLOCK 4033,5.861729094658102e-07
BLOCK 5000,6.127090066965292e-08
BLOCK 5001,5.96215454027201e-08
BLOCK 5002,6.303369600749651e-08
BLOCK 5003,6.575280277362177e-08
BLOCK 5004,6.263378855314628e-08
BLOCK 5005,1.5680718587728855e-08
BLOCK 5006,1.9866898443961126e-09
BLOCK 5007,2.0603178604142183e-09
BLOCK 5008,1.6993206022583686e-09
BLOCK 5009,7.895511036727575e-10
BLOCK 5010,3.8860621408694083e-10
BLOCK 5011,2.0501547866356658e-10
BLOCK 5012,1.6933612632940814e-10
BLOCK 5013,7.739363302434866e-11
BLOCK 5014,3.043066335964841e-10
BLOCK 5015,1.5600223876702372e-09
BLOCK 5016,2.3965394651074654e-11
BLOCK 5017,9.210950849278098e-10
BLOCK 5018,2.0415650017329935e-09
BLOCK 5019,8.422828318508449e-10
BLOCK 5020,2.087879409590833e-13
BLOCK 5021,6.508164449601386e-14
BLOCK 5022,2.627482981625822e-15
BLOCK 5023,1.2680803812391887e-13
BLOCK 5024,1.8689559608714435e-11
BLOCK 5025,1.533513711437225e-09
BLOCK 5026,6.792960940718607e-12
BLOCK 5027,3.888127789850077e-08
BLOCK 5028,4.4995656072447967e-07
BLOCK 5029,1.232532648100128e-09
BLOCK 5032,3.277250924672419e-17
BLOCK 5033,1.8419825352394728e-16
BLOCK 5034,1.0242978217664884e-08
BLOCK 5035,1.5811487566707586e-09
BLOCK 2063,6.986462937836213e-07
BLOCK 4034,4.517253887457514e-07
BLOCK 4035,3.790177091753958e-07
BLOCK 4036,3.933537213555712e-07
BLOCK 4037,3.440443691392877e-07
BLOCK 4038,2.040575889493733e-07
BLOCK 4039,1.5625610241282336e-07
BLOCK 4040,1.1930989391609018e-07
BLOCK 4041,4.081713323211989e-07
BLOCK 4042,2.622085748822913e-07
BLOCK 4043,4.3601991615502225e-07
BLOCK 4044,5.610520520544135e-07
BLOCK 4045,6.576147551562477e-07
BLOCK 4046,5.976641800342547e-07
BLOCK 4048,5.465994360310573e-07
BLOCK 4049,5.960741330389552e-07
BLOCK 4050,5.571017585699458e-07
BLOCK 4051,7.518835157870422e-07
BLOCK 4052,6.947155573521291e-07
BLOCK 4053,6.710998639216909e-07
BLOCK 4054,6.316102639451216e-07
BLOCK 4055,6.324184551144483e-07
BLOCK 4056,6.466172447831094e-07
BLOCK 4058,6.839655117642961e-07
BLOCK 4059,6.730861467184152e-07
BLOCK 4061,4.82065743255346e-07
BLOCK 4062,5.179438796711338e-07
BLOCK 2035,1.3472986857926939e-06
BLOCK 2037,1.5741300640605176e-06
BLOCK 2038,1.910565367332687e-06
BLOCK 2040,5.563393313691387e-07
BLOCK 2041,9.079252557545389e-07
BLOCK 2042,7.917619588971614e-07
BLOCK 2043,6.523689925273965e-07
BLOCK 2044,6.40110717317476e-07
BLOCK 1045,2.486843039085167e-07
BLOCK 1047,1.0171095962382586e-07
BLOCK 1041,2.1240225619628122e-07
BLOCK 1042,1.563062142158408e-07
BLOCK 1043,2.7290094777445933e-07
BLOCK 1044,3.46625478405027e-07
